"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Historical (real-time) releases of wholesale sales, price and volume, seasonally adjusted","20100005","081-8018","https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2010000501",1;2;4;6,"CURRENT - a cube available to the public and that is current","Monthly","2004-01-01","2023-12-01","4",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",,""
"2","Sales, price and volume",,""
"3","North American Industry Classification System (NAICS)",,""
"4","Release",,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"3","Farm product merchant wholesalers (excluding oilseed and grain)","[411 - 41112]","36","42","",,
"3","Petroleum, petroleum products, and other hydrocarbons merchant wholesalers","[412]","37","42","",,
"3","Wholesale trade","[41]","1","","",,
"3","Wholesale trade (excluding oilseed and grain)","[41 - 41112]","40","","",,
"3","Wholesale trade (excluding petroleum, petroleum products, and other hydrocarbons)","[41 - 412]","41","","",,
"3","Wholesale trade (excluding petroleum, petroleum products, and other hydrocarbons, and oilseed and grain)","[41 - 412-41112]","42","","",,
"4","July 23, 2018","","1","","",,
"4","August 21, 2018","","2","","",,
"4","September 24, 2018","","3","","",,
"4","October 22, 2018","","4","","",,
"4","November 21, 2018","","5","","",,
"4","December 20, 2018","","6","","",,
"4","January 22, 2019","","7","","",,
"4","February 21, 2019","","8","","",,
"4","March 21, 2019","","9","","",,
"4","April 23, 2019","","10","","",,
"4","May 23, 2019","","11","","",,
"4","June 25, 2019","","12","","",,
"4","July 22, 2019","","13","","",,
"4","August 22, 2019","","14","","",,
"4","September 23, 2019","","15","","",,
"4","October 23, 2019","","16","","",,
"4","November 25, 2019","","17","","",,
"4","December 19, 2019","","18","","",,
"4","January 22, 2020","","19","","",,
"4","February 24, 2020","","20","","",,
"4","March 23, 2020","","21","","",,
"4","April 20, 2020","","22","","",,
"4","May 20, 2020","","23","","",,
"4","June 18, 2020","","24","","",,
"4","July 17, 2020","","25","","",,
"4","August 19, 2020","","26","","",,
"4","September 18, 2020","","27","","",,
"4","October 19, 2020","","28","","",,
"4","November 17, 2020","","29","","",,
"4","December 16, 2020","","30","","",,
"4","January 19, 2021","","31","","",,
"4","February 12, 2021","","32","","",,
"4","March 12, 2021","","33","","",,
"4","April 16, 2021","","34","","",,
"4","May 14, 2021","","35","","",,
"4","June 16, 2021","","36","","",,
"4","July 16, 2021","","37","","",,
"4","August 16, 2021","","38","","",,
"4","September 16, 2021","","39","","",,
"4","October 15, 2021","","40","","",,
"4","November 15, 2021","","41","","",,
"4","December 16, 2021","","42","","",,
"4","January 19, 2022","","43","","",,
"4","February 16, 2022","","44","","",,
"4","March 16, 2022","","45","","",,
"4","April 14, 2022","","46","","",,
"4","May 16, 2022","","47","","",,
"4","June 16, 2022","","48","","",,
"4","July 15, 2022","","49","","",,
"4","August 15, 2022","","50","","",,
"4","September 16, 2022","","51","","",,
"4","October 14, 2022","","52","","",,
"4","November 15, 2022","","53","","",,
"4","December 16, 2022","","54","","",,
"4","January 19, 2023","","55","","",,
"4","February 15, 2023","","56","","",,
"4","March 17, 2023","","57","","",,
"4","April 17, 2023","","58","","",,
"4","May 15, 2023","","59","","",,
"4","June 16, 2023","","60","","",,
"4","July 17, 2023","","61","","",,
"4","August 16, 2023","","62","","",,
"4","September 14, 2023","","63","","",,
"4","October 16, 2023","","64","","",,
"4","November 15, 2023","","65","","",,
"4","December 15, 2023","","66","","",,
"4","January 15, 2024","","67","","",,
"4","February 16, 2024","","68","","",,

Symbol Legend
Description,Symbol
"not available for a specific reference period","..",
"less than the limit of detection","<LOD",
"value rounded to 0 (zero) where there is a meaningful distinction between true zero and the value that was rounded","0s",
"data quality: excellent","A",
"data quality: very good","B",
"data quality: good","C",
"data quality: acceptable","D",
"use with caution","E",
"too unreliable to be published","F",
"not applicable","...",
"preliminary","p",
"revised","r",
"suppressed to meet the confidentiality requirements of the Statistics Act","x",
"terminated","t",

"Survey Code","Survey Name"
"2401","Monthly Wholesale Trade Survey"

"Subject Code","Subject Name"
"20","Retail and wholesale"

"Note ID",Note
1,"This table replaces archived table 20-10-0023-01."
2,"This real-time table is designed to track changes in the estimates since their initial release. Typically, data are released as preliminary for a specific period, revised the following period based on new information and eventually revised in an annual or historical revision process. Additional information can be found in the <a href="http://www.statcan.gc.ca/eng/dai/btd/rct" rel="external noopener noreferrer" target="_blank">Real-time tables (opens new window)</a> article."
3,"Compiled using Laspeyres index formula."
4,"Effective with the September 2018 release of the wholesale trade estimates on November 21st 2018, wholesale sales estimates disseminated by Manufacturing and Wholesale Trade Division have been converted from a 2007 reference year to a 2012 reference year for its volume and price estimates. Constant price estimates and their associated price index are now using 2012 as their base year.  Adopting a new reference year didn't affect constant dollars sales estimates growth rates over the period 2004 to 2011 as it represents a rescaling of the 2007-based data. However, levels and growth rates of the estimates for the period of 2012 to date have been affected by revisions to estimates at current prices and to price indices.  Data for previous releases are calculated using a base year of 2007 prices."
5,"Data for this Canadian industry are presented in unadjusted form as there is no seasonal pattern established by official statistics yet."
6,"Data for oilseed and grain merchant wholesalers were included from January 2023, while those for petroleum, petroleum products, and other hydrocarbons merchant wholesalers were included from March 2023."

"Correction ID","Correction Date","Correction Note"
"3566","2023-02-02","On February 2, 2023, a correction was made to the constant dollar data published under the December 16, 2022 release date. The data was corrected for the April to October 2022 reference months inclusively.",

